strain,sample_date,host,accession,country,genotype
,18-MAY-2021,Homo sapiens,AB197674.1,China: Shanghai,4a
,18-MAY-2021,,AB222182.1,Japan: Saga,3b
,18-MAY-2021,,AB222183.1,Japan: Tokushima,3b
,18-MAY-2021,,AB222184.1,Japan: Yamaguchi,3b
,18-MAY-2021,,AB246676.1,,3b
,18-MAY-2021,Homo sapiens,AB220971.1,Japan: Mito,4c
,18-MAY-2021,Homo sapiens,AB220972.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220973.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220974.1,Japan: Hokkaido,4f
,18-MAY-2021,Homo sapiens,AB220975.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220976.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220977.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220978.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB220979.1,Japan: Hokkaido,4c
,18-MAY-2021,,AB253420.1,Japan: Okinawa,4b
,18-MAY-2021,,AB236320.1,Japan: Okinawa,3b
,17-MAY-2007,Homo sapiens,DQ459342.1,India: western region,1a
,18-MAY-2021,Homo sapiens,AB248520.1,Japan: Mie,3e
,18-MAY-2021,,AB248521.1,Japan: Hokkaido,3e
,18-MAY-2021,,AB248522.1,Japan: Hokkaido,3e
,18-AUG-2023,,EF077630.1,,4a
,19-MAR-2007,,DQ279091.2,China,4b
,18-MAY-2021,,AB290312.1,Mongolia,3h
,18-MAY-2021,,AB290313.1,Mongolia,3
,22-OCT-2007,,EF570133.1,China,4i
,18-MAY-2021,,AB301710.1,Japan,3b
,19-JAN-2008,,EU366959.1,China,4a
,06-AUG-2008,pig,EU360977.1,Sweden,3f
,03-MAR-2009,,EU375463.1,,3f
E116-YKH98C,18-MAY-2021,,AB369687.1,"Japan:Kanagawa, Yokohama",3f
E087-SAP04C,18-MAY-2021,,AB369688.1,"Japan:Hokkaido, Sapporo",4
E088-STM04C,18-MAY-2021,,AB369689.1,Japan:Saitama,3k
E067-SIJ05C,18-MAY-2021,,AB369690.1,"Japan:Tokyo, Shinjuku",4i
E097-OSA05C,18-MAY-2021,,AB369691.1,Japan:Osaka,3b
,11-JAN-2009,Homo sapiens,EU495148.1,,3f
,18-MAY-2021,,AB362843.1,,3b
,18-MAY-2021,,AB362842.1,,3b
,18-MAY-2021,,AB362841.1,,3b
,18-MAY-2021,,AB362840.1,,3b
,18-MAY-2021,,AB362839.1,,3b
,18-MAY-2021,,AB425831.1,,3b
,18-MAY-2021,,AB425830.1,,3b
,04-JAN-2009,domestic pig,EU723513.1,Spain,3f
,04-JAN-2009,domestic pig,EU723515.1,Spain,3f
,04-JAN-2009,domestic pig,EU723516.1,Spain,3f
,21-OCT-2008,swine,EU676172.2,China,4b
,22-MAR-2010,swine,FJ426403.1,South Korea,3a
,22-MAR-2010,swine,FJ426404.1,South Korea,3a
,04-MAR-2011,Homo sapiens,FJ457024.1,India,1
genotype 3,18-MAY-2021,,AB443623.1,Japan:Miyazaki,3b
genotype 3,18-MAY-2021,,AB443624.1,Japan:Miyazaki,3b
genotype 3,18-MAY-2021,,AB443625.1,Japan:Miyazaki,3b
genotype 3,18-MAY-2021,,AB443626.1,Japan:Miyazaki,3b
genotype 3,18-MAY-2021,,AB443627.1,Japan:Miyazaki,3b
,18-MAY-2021,,AB291951.1,Japan:Saitama,3b
,18-MAY-2021,,AB291952.1,Japan:Tottori,3b
,18-MAY-2021,,AB291953.1,Japan:Okinawa,3b
,18-MAY-2021,,AB291954.1,Japan:Okayama,3b
,18-MAY-2021,,AB291955.1,Japan:Kyoto,3b
,18-MAY-2021,,AB291956.1,Japan:Tottori,3b
,18-MAY-2021,,AB291957.1,Japan:Okinawa,3b
,18-MAY-2021,,AB291958.1,Japan:Ehime,3e
,18-MAY-2021,,AB291959.1,"Japan:Hokkaido, Kitami",4c
,18-MAY-2021,,AB291960.1,Japan:Kagawa,3b
,18-MAY-2021,,AB291961.1,Japan:Osaka,3f
,18-MAY-2021,,AB291962.1,Japan:Toyama,3b
,18-MAY-2021,,AB291963.1,Japan:Toyama,3b
,18-MAY-2021,,AB291964.1,Japan:Tokyo,4b
,18-MAY-2021,,AB291965.1,"Japan:Hokkaido, Kitami",4c
,18-MAY-2021,,AB291966.1,"Japan:Hokkaido, Asahikawa",4c
,18-MAY-2021,,AB291967.1,"Japan:Hokkaido, Abashiri",4c
,18-MAY-2021,,AB291968.1,"Japan:Hokkaido, Abashiri",4c
,18-MAY-2021,Homo sapiens,AB437316.1,Japan,3b
,18-MAY-2021,Homo sapiens,AB437319.1,Japan,3b
,21-JAN-2009,domestic pig,EU723512.2,Spain,3f
,21-JAN-2009,domestic pig,EU723514.2,Spain,3f
,06-JUL-2009,swine,FJ610232.1,China: Gansu,4d
,28-JAN-2011,,AB481226.1,Japan,3e
,28-JAN-2011,,AB481227.1,Japan,4c
,28-JAN-2011,,AB481228.1,Japan,3a
,28-JAN-2011,,AB481229.1,Japan,3b
,09-JUN-2010,Homo sapiens,FJ763142.1,South Korea,4a
,13-APR-2009,swine,FJ527832.2,China: Shanghai,3b
,18-MAY-2021,Homo sapiens,AB437317.1,Japan,3b
,18-MAY-2021,Homo sapiens,AB437318.1,Japan,3b
,07-JUN-2009,wild boar,FJ705359.1,Germany,3c
,18-MAY-2021,,AB480825.1,,4c
,15-OCT-2010,Homo sapiens,FJ653660.1,Thailand,3f
,20-JUL-2009,rabbit,FJ906895.1,China,3ra
,20-JUL-2009,rabbit,FJ906896.1,China,3ra
,14-SEP-2009,Homo sapiens,FJ956757.1,Germany,3f
,12-SEP-2009,Sus scrofa (wild boar),FJ998008.1,"Germany: Krausnick, Brandenburg",3i
,24-JUL-2016,Sus scrofa (wild boar),FJ998015.1,"Germany: Welzow-Proschim, Brandenburg/Saxony",3e
,09-DEC-2009,pig,GU188851.1,China: Wuhan,4h
,19-MAY-2011,swine,GU206559.1,China,4d
hb-3,26-MAY-2011,swine,GU361892.1,China,4d
,19-MAY-2011,swine,GU119960.2,China,4a
,15-DEC-2011,rabbit,GU937805.1,China,3ra
,18-MAY-2021,Homo sapiens,AB521805.1,"Japan:Hamamatsu, Shizuoka",4i
,18-MAY-2021,Homo sapiens,AB521806.1,"Japan:Hamamatsu, Shizuoka",4i
,19-MAY-2011,swine,GU119961.3,China,4h
,03-AUG-2010,swine,HM152568.1,China,4d
,11-OCT-2010,Homo sapiens,HM439284.1,China,4i
,18-MAY-2021,Sus scrofa leucomystax,AB602441.1,Japan:Okayama,6a
,18-MAY-2021,Sus scrofa leucomystax,AB573435.2,"Japan:Shizuoka, Tenryu",5a
TW6196E,22-MAR-2011,Homo sapiens,HQ634346.1,Taiwan,4a
JMNG26-Oki08,18-MAY-2021,Herpestes javanicus,AB591733.1,"Japan:Okinawa, Okinawa Island",3b
JMNG36-Oki08,18-MAY-2021,Herpestes javanicus,AB591734.1,"Japan:Okinawa, Okinawa Island",3a
HEV072/sw/HUN-05,25-JUL-2016,swine,HM055578.1,Hungary,3e
,18-MAY-2021,Homo sapiens,AB602439.1,Japan:Aichi,4i
,18-MAY-2021,Sus scrofa leucomystax,AB602440.1,Japan:Gifu,4i
,18-MAY-2021,Homo sapiens,AB630970.1,"Japan:Hokkaido, Sapporo",3a
,18-MAY-2021,Homo sapiens,AB630971.1,Japan:Fukuoka,3b
,01-AUG-2013,Sus scrofa,JF915746.1,China,4i
,22-OCT-2011,,AB593690.1,,3b
Inuyama,10-DEC-2012,Japanese monkey,JQ026407.1,Japan: Inuyama,3e
,15-MAY-2012,Homo sapiens,JN837481.1,USA,3a
LBPR-000379,21-FEB-2012,Homo sapiens,JN564006.1,USA,3a
W1-11,10-AUG-2012,rabbit,JQ013791.1,France,3ra
W7-57,10-AUG-2012,rabbit,JQ013792.1,France,3ra
TLS-18516,10-AUG-2012,Homo sapiens,JQ013793.1,France,3ra
TR19,10-AUG-2012,Homo sapiens,JQ013794.1,France,3h
TR02,10-AUG-2012,Homo sapiens,JQ013795.1,France,3e
Type III Highland/2000,18-MAY-2021,,AB698071.1,Japan:Tsukuba,3b
,04-APR-2013,Homo sapiens,JF443717.1,"India: Kolhapur, Maharashtra",1c
,04-APR-2013,Homo sapiens,JF443718.1,"India: Pune, Maharashtra",1a
,04-APR-2013,Homo sapiens,JF443719.1,"India: Lonavala, Maharashtra",1a
,04-APR-2013,Homo sapiens,JF443720.1,"India: Pune, Maharashtra",1a
,04-APR-2013,Homo sapiens,JF443721.1,"India: Roha, Maharashtra",1f
,04-APR-2013,Homo sapiens,JF443722.1,"India: Pune, Maharashtra",1f
,04-APR-2013,Homo sapiens,JF443723.1,"India: Pune, Maharashtra",1f
,04-APR-2013,Homo sapiens,JF443724.1,"India: Pune, Maharashtra",1f
,04-APR-2013,Homo sapiens,JF443725.1,"India: Pune, Maharashtra",1f
,04-APR-2013,Homo sapiens,JF443726.1,"India: Pune, Maharashtra",1f
Kernow-C1,30-APR-2012,Homo sapiens,JQ679013.1,United Kingdom,3a
Kernow-C1,30-APR-2012,Homo sapiens,JQ679014.1,United Kingdom,3a
FR-HuHEVF3f,10-MAY-2012,Homo sapiens,JN906974.1,France,3f
FR-SHEVF3f,10-MAY-2012,swine,JN906975.1,France,3f
FR-SHEVB3f,10-MAY-2012,swine,JN906976.1,France,3f
,09-JUL-2014,Homo sapiens,JQ655733.1,China,4a
,06-NOV-2012,Homo sapiens,JQ655734.1,China,1b
,09-JUL-2014,Homo sapiens,JQ655735.1,China,4h
,09-JUL-2014,swine,JQ655736.1,China,4d
,28-JAN-2013,Homo sapiens,JQ740781.1,China,4h
HEV-ZJ1,28-JUL-2012,swine,JQ993308.1,China,4i
,01-APR-2013,rabbit,JX121233.1,China,3ra
,18-MAY-2021,Homo sapiens,AB698654.1,"Japan:Yamaguchi, Shimonoseki",4g
FR-SHEV3c-like,21-MAR-2013,swine,JQ953664.1,France,3l
FR-SHEV3e,21-MAR-2013,swine,JQ953665.1,France,3e
FR-SHEV3f,21-MAR-2013,swine,JQ953666.1,France,3f
,11-NOV-2012,rabbit,JX565469.1,USA: Virginia,3ra
,18-MAY-2021,Oryctolagus cuniculus breed: Rex rabbit,AB740220.1,China:Inner Mongolia,3ra
,18-MAY-2021,Oryctolagus cuniculus breed: Rex rabbit,AB740221.1,China:Inner Mongolia,3ra
,18-MAY-2021,Oryctolagus cuniculus breed: Rex rabbit,AB740222.1,China:Inner Mongolia,3ra
SS19,27-FEB-2014,swine,JX855794.1,China,4b
,18-MAY-2021,Sus scrofa,AB740232.1,Japan,3k
,07-JUL-2014,Homo sapiens,KC163335.1,China,4d
,18-MAY-2021,Homo sapiens,AB720034.1,Bangladesh:Rajshahi,1f
,18-MAY-2021,Homo sapiens,AB720035.1,Bangladesh:Rajshahi,1f
,18-MAY-2021,Sus scrofa,AB780450.1,Japan:Mie,3e
,18-MAY-2021,Sus scrofa,AB780451.1,Japan:Mie,3e
,18-MAY-2021,Sus scrofa,AB780452.1,Japan:Mie,3e
,18-MAY-2021,Sus scrofa,AB780453.1,Japan:Mie,3e
CH-YT-HEV02,13-DEC-2013,Homo sapiens,KC492825.1,China,4a
,13-NOV-2014,Homo sapiens,KC166967.1,France,3f
,13-NOV-2014,Homo sapiens,KC166968.1,France,3f
,13-NOV-2014,Homo sapiens,KC166969.1,France,3f
,13-NOV-2014,Homo sapiens,KC166970.1,France,3f
,13-NOV-2014,Homo sapiens,KC166971.1,France,3f
,27-AUG-2014,swine,KF176351.1,China,4d
,21-DEC-2013,Homo sapiens,KC618402.1,Germany,3c
,21-DEC-2013,Homo sapiens,KC618403.1,,3c
,28-FEB-2014,Homo sapiens,KF922359.1,France,3e
,18-MAY-2021,Sus scrofa leucomystax,AB856243.1,Japan:Nagano,6
CH-YT-sHEV01,07-JUL-2014,swine,KC692453.1,China,4a
,24-MAR-2014,swine,KJ155502.1,China,4h
,26-AUG-2020,Camelus dromedarius,KJ496143.1,United Arab Emirates,7a
,29-MAY-2014,Camelus dromedarius,KJ496144.1,United Arab Emirates,7
swSTHY12-VAS19/2003/CA,14-MAY-2014,swine,KJ507955.1,Canada,3a
swSTHY42-VAS49/2003/CA,14-MAY-2014,swine,KJ507956.1,Canada,3b
,29-OCT-2014,Homo sapiens,KJ701409.1,France,3c
,15-APR-2015,domestic swine,KF303502.2,Germany,3a
,26-AUG-2014,,HW532736.1,,3a
,26-AUG-2014,,HW532737.1,,3a
,01-NOV-2014,Bos grunniens,KF736234.1,China,4h
,18-MAY-2021,Homo sapiens,AB909124.1,Japan:Gifu,4i
,18-MAY-2021,Homo sapiens,AB909125.1,Japan:Shizuoka,4i
,18-MAY-2021,Homo sapiens,AB850879.1,Japan:Gunma,3f
,15-JAN-2016,pig,KM253769.1,China: Henan,4h
MWP_2010,15-JUL-2016,wild boar,KP294371.1,Germany,3
,18-MAY-2021,Homo sapiens,LC022745.1,"Japan:Hokkaido, Kitami",4c
,09-SEP-2015,Homo sapiens,LC042232.1,Cambodia,4b
G1 HEV p21,01-SEP-2016,,LC061267.1,India,1a
,11-OCT-2015,swine,KP698919.1,Italy,3e
,02-NOV-2015,Macaca mulatta,KR872414.1,China,4h
,02-NOV-2015,Homo sapiens,KR872415.1,China,4h
,02-NOV-2015,tree shrew,KR872416.1,China,4h
,02-NOV-2015,Homo sapiens,KR872417.1,China,4h
,05-NOV-2015,Homo sapiens,LC055972.1,Japan:Tokyo,3f
,05-NOV-2015,Homo sapiens,LC055973.1,Japan:Saitama,3f
,17-NOV-2015,Homo sapiens; male,KT818608.1,Singapore,7
,15-JAN-2017,Homo sapiens,KU176129.1,France,3c
,15-JAN-2017,Homo sapiens,KU176130.1,France,3m
,15-JAN-2017,Homo sapiens,KU176131.1,France,3h
,15-JAN-2017,Homo sapiens,KU176132.1,France,3h
,27-JAN-2016,Homo sapiens,KU513561.1,Spain,3m
,09-FEB-2016,,KT447526.1,Singapore,3a
,09-FEB-2016,,KT447527.1,Singapore,3f
,09-FEB-2016,,KT447528.1,Singapore,3a
,18-MAY-2021,Homo sapiens,LC037955.1,Mongolia:Ulaanbaatar,4a
,16-FEB-2016,swine,KT727028.1,China,3a
,02-MAY-2016,Yunling goat,KU356182.1,China,4h
,02-MAY-2016,Yunling goat,KU356183.1,China,4h
,02-MAY-2016,Yunling goat,KU356184.1,China,4h
,02-MAY-2016,Yunling goat,KU356185.1,China,4h
,02-MAY-2016,Yunling goat,KU356186.1,China,4h
,02-MAY-2016,cow,KU356187.1,China,4h
,02-MAY-2016,cow,KU356188.1,China,4h
,02-MAY-2016,cow,KU356189.1,China,4h
,27-JUN-2016,Homo sapiens,KT591532.1,France,3f
,27-JUN-2016,Homo sapiens,KT591533.1,France,3f
,27-JUN-2016,Homo sapiens,KT591534.1,France,3f
,15-JUL-2016,Homo sapiens,KT159771.1,United Kingdom,3c
,13-JUL-2016,pig,KU747141.1,Denmark,3f
,13-JUL-2016,pig,KU747142.1,Denmark,3f
,19-JUL-2016,Homo sapiens,KX462160.1,United Kingdom,3c
,31-JUL-2016,rabbit,KX227751.1,China,3ra
,18-MAY-2021,,LC126331.1,,3b
,18-MAY-2021,,LC126332.1,,3b
,31-AUG-2017,swine,KT581443.1,Sweden: Uppsala,3f
,31-AUG-2017,swine,KT581444.1,Sweden: Uppsala,3f
,31-AUG-2017,wild boar,KT581445.1,Sweden: Kronoberg,3f
,31-AUG-2017,wild boar,KT581446.1,Sweden: Halland,3f
,31-AUG-2017,swine,KT581447.1,Sweden: Dalarna,3f
,31-AUG-2017,swine,KT581448.1,Spain,3f
huJB-0414,18-MAY-2021,,LC131066.1,Japan,3k
12XJ,26-AUG-2020,Camelus bactrianus,KX387865.1,China: Xinjiang,8a
48XJ,12-DEC-2016,Camelus bactrianus,KX387866.1,China: Xinjiang,8a
62XJ,12-DEC-2016,Camelus bactrianus,KX387867.1,China: Xinjiang,8a
,18-AUG-2023,Homo sapiens,KX578717.1,Mexico,2a
HB-S3,18-FEB-2017,swine,KX531115.1,China,4d
,21-MAR-2018,Homo sapiens,KU980235.1,Germany,3f
,21-MAR-2018,Homo sapiens,KX172133.1,Germany,3c
,18-MAR-2017,swine,KX981911.1,China,3a
,29-MAR-2017,Homo sapiens,KY780957.1,Switzerland,3h
,23-AUG-2020,Oryctolagus cuniculus,KY436898.1,Germany,3ra
,18-MAY-2021,Homo sapiens,LC176492.1,Japan:Akita,3k
,18-MAY-2021,Homo sapiens,LC176493.1,Japan:Akita,3k
,25-APR-2017,rabbit,KY496200.1,South Korea,3ra
,30-MAY-2017,swine,KX574712.1,China,3a
,19-JUL-2017,Homo sapiens,MF346772.1,Switzerland,3h
,19-JUL-2017,,MF346773.1,Switzerland,3h
rabbit/R42/GER/2013,04-APR-2018,Oryctolagus cuniculus,MF480297.1,Germany: Frankfurt am Main,3ra
rabbit/U46/GER/2013,04-APR-2018,Oryctolagus cuniculus,MF480298.1,Germany: Frankfurt am Main,3ra
swHLJ-BXBX,04-SEP-2017,swine,KX827238.1,China,4d
,18-MAY-2021,Homo sapiens,LC225387.1,Mongolia:Ulaanbaatar,1g
,18-MAY-2021,Sus scrofa,LC260517.1,Japan,3
,18-MAY-2021,Homo sapiens,LC314155.1,Japan:Gunma,1g
,18-MAY-2021,Homo sapiens,LC314156.1,Japan:Mie,1g
,18-MAY-2021,Homo sapiens,LC314157.1,Japan:Mie,1g
,18-MAY-2021,Homo sapiens,LC314158.1,Japan:Hiroshima,1g
,28-OCT-2017,Homo sapiens,KY232312.1,Thailand,3f
,28-OCT-2017,Homo sapiens,KY232313.1,Thailand,3f
,12-DEC-2017,Homo sapiens,KY436505.1,India,1g
,12-DEC-2017,Homo sapiens,KY436506.1,India,1g
,12-DEC-2017,Homo sapiens,KY436507.1,India,1g
,07-DEC-2017,Homo sapiens,LC164712.1,Japan:Gifu,3f
,26-DEC-2017,Homo sapiens,KY929403.1,China,4h
,26-DEC-2017,Homo sapiens,KY929404.1,China,4h
,15-SEP-2018,wild boar,MF959764.1,Italy,3
,15-SEP-2018,wild boar,MF959765.1,Italy,3
,08-MAR-2018,swine,MG674164.1,Italy,3l
,15-JAN-2018,Homo sapiens,MF567575.1,China,4a
,23-JAN-2018,pig,MG573193.1,Switzerland,3h
,13-MAR-2018,Homo sapiens,MG211750.1,France,3ra
,13-MAR-2018,Homo sapiens,MG211751.1,France,3ra
Kol16,30-APR-2018,,MH074880.1,India: Kolkata,1f
,08-MAY-2018,swine,KY766999.1,Italy,3l
,20-FEB-2019,Homo sapiens,MF444027.1,France,3f
,20-FEB-2019,Homo sapiens,MF444028.1,France,3f
,20-FEB-2019,Homo sapiens,MF444029.1,France,3f
,20-FEB-2019,Homo sapiens,MF444030.1,France,3m
,20-JUL-2019,Homo sapiens,MF444033.1,France,3f
,20-JUL-2019,Homo sapiens,MF444083.1,France,3f
,20-JUL-2019,Homo sapiens,MF444086.1,France,3e
,20-JUL-2019,Homo sapiens,MF444119.1,France,3f
,20-JUL-2019,Homo sapiens,MF444145.1,France,3h
,28-SEP-2019,Homo sapiens,LC387631.1,"Japan: Hokkaido, Sapporo",4c
,28-SEP-2019,Homo sapiens,LC387632.1,"Japan: Hokkaido, Sapporo",4g
MXCDg3_B1_2016,17-AUG-2018,domestic swine,MG833836.1,Mexico,3a
,23-SEP-2018,,MG783569.1,France,3c
,23-SEP-2018,,MG783570.1,France,3c
,08-OCT-2018,Homo sapiens,MH918640.1,Nigeria,1
,05-NOV-2018,Homo sapiens,MH809516.1,Nigeria,2
huJB-0326,18-MAY-2021,Homo sapiens,LC386855.1,Japan,3b
,07-JUL-2019,Homo sapiens,MH450020.1,Thailand,3f
,07-JUL-2019,Homo sapiens,MH450021.1,Thailand,3c
,07-JUL-2019,Homo sapiens,MH450022.1,Thailand,3a
,07-JUL-2019,Swine,MH450023.1,Thailand,3f
,07-JUL-2019,Swine,MH450024.1,Thailand,3f
,07-JUL-2019,Swine,MH450025.1,Thailand,3f
,07-JUL-2019,Swine,MH450026.1,Thailand,3f
,07-JUL-2019,Swine,MH450027.1,Thailand,3f
,07-JUL-2019,Swine,MH450028.1,Thailand,3f
,07-JUL-2019,Swine,MH450029.1,Thailand,3f
,07-JUL-2019,Swine,MH450030.1,Thailand,3f
,07-JUL-2019,Swine,MH450031.1,Thailand,3f
HEV_006_1,10-DEC-2018,swine,MH184579.1,United Kingdom: England,3e
HEV_006_2,10-DEC-2018,swine,MH184580.1,United Kingdom: England,3e
HEV_022,10-DEC-2018,swine,MH184581.1,United Kingdom: England,3e
HEV_090,10-DEC-2018,swine,MH184582.1,United Kingdom: England,3e
HEV_493,10-DEC-2018,swine,MH184583.1,United Kingdom: England,3e
HEV_557,10-DEC-2018,swine,MH184584.1,United Kingdom: England,3e
,27-DEC-2018,Homo sapiens,MH377721.1,Sweden,3i
,27-DEC-2018,Homo sapiens,MH377722.1,Sweden,3c
,27-DEC-2018,Homo sapiens,MH377723.1,Sweden,3c
,27-DEC-2018,Homo sapiens,MH377724.1,Germany,3e
,27-DEC-2018,Homo sapiens,MH377725.1,Sweden,3f
,27-DEC-2018,Homo sapiens,MH377726.1,Sweden,3f
,27-DEC-2018,Homo sapiens,MH377727.1,Sweden,3c
BcHEV-GP,18-MAR-2019,Camelus bactrianus,MH410174.1,China,8
M1,18-MAR-2019,Macaca fascicularis,MH410175.1,China,8
M2,18-MAR-2019,Macaca fascicularis,MH410176.1,China,8
,31-MAY-2019,Homo sapiens,MH991993.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991994.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991995.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991996.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991997.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991998.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH991999.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992000.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992001.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992002.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992003.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992004.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992005.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992006.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992007.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992008.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992009.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992010.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992011.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992012.1,Bangladesh,1f
,31-MAY-2019,Homo sapiens,MH992013.1,Bangladesh,1f
rJB-D54,18-MAY-2021,Sus scrofa domesticus,LC439299.1,Japan,3b
,20-FEB-2019,Homo sapiens,MF444031.1,France,3c
,20-FEB-2019,Homo sapiens,MF444032.1,France,3f
,20-FEB-2019,Homo sapiens,MF444034.1,France,3f
,20-FEB-2019,Homo sapiens,MF444035.1,France,3f
,20-FEB-2019,Homo sapiens,MF444036.1,France,3f
,20-FEB-2019,Homo sapiens,MF444037.1,France,3h
,20-FEB-2019,Homo sapiens,MF444038.1,France,3f
,20-FEB-2019,Homo sapiens,MF444039.1,France,3f
,20-FEB-2019,Homo sapiens,MF444040.1,France,3f
,20-FEB-2019,Homo sapiens,MF444041.1,France,3f
,20-FEB-2019,Homo sapiens,MF444042.1,France,3c
,20-FEB-2019,Homo sapiens,MF444043.1,France,3c
,20-FEB-2019,Homo sapiens,MF444044.1,France,3c
,20-FEB-2019,Homo sapiens,MF444045.1,France,3f
,20-FEB-2019,Homo sapiens,MF444046.1,France,3f
,20-FEB-2019,Homo sapiens,MF444047.1,France,3f
,20-FEB-2019,Homo sapiens,MF444048.1,France,3f
,20-FEB-2019,Homo sapiens,MF444049.1,France,3c
,20-FEB-2019,Homo sapiens,MF444050.1,France,3f
